0,1,2,
80.9731,123.073,42.1696,
70.306,129.154,42.2375,
59.1895,134.315,44.8246,
47.7028,138.523,42.0376,
-0.299491,145.42,41.9669,
-12.3931,144.618,42.3314,
-119.866,76.4279,42.9145,
-125.577,66.0471,43.747,
-130.394,55.2469,42.5913,
-134.286,44.1042,42.9517,
-137.373,-25.4555,43.3883,
-126.047,-58.3434,43.0161,
-99.1998,-95.6557,43.1529,
-81.612,-110.365,43.0682,
-71.9884,-116.55,43.1897,
-40.6352,-129.969,42.7994,
-29.6042,-132.637,42.4029,
-18.4116,-134.373,43.3061,
-7.13591,-135.168,42.2695,
15.35,-133.935,42.3271,
26.4039,-131.923,41.7417,
37.2297,-129.002,44.6299,
47.7529,-125.197,42.5034,
57.9015,-120.536,42.2177,
67.6064,-115.057,42.4772,
76.8019,-108.801,43.7193,
85.4261,-101.814,42.4595,
107.317,-77.0073,42.4712,
113.127,-67.6569,42.1286,
122.285,-47.7309,42.4411,
129.485,-15.8574,41.9153,
129.775,5.84314,42.2027,
128.567,16.6021,42.2031,
126.47,27.2005,41.2985,
123.502,37.5653,42.6625,
119.689,47.6252,41.8643,
115.06,57.3117,41.3178,
109.651,66.5588,41.3378,
103.503,75.3041,41.7275,
89.1771,91.0583,41.6299,
81.1051,97.9626,41.9994,
72.504,104.157,42.1277,
63.4358,109.6,41.4696,
53.9657,114.258,42.2694,
44.1613,118.102,41.9149,
34.0923,121.109,41.8953,
13.4465,124.546,40.7977,
3.01469,124.961,41.8646,
-17.703,123.186,41.154,
-27.8453,121.016,41.0497,
-65.3679,104.294,41.3662,
-73.6676,98.2659,41.908,
-81.4184,91.5814,42.236,
-88.569,84.29,41.3174,
-105.971,59.3273,42.5565,
-110.298,50.1772,42.1117,
-116.571,31.0216,41.89,
-118.482,21.1518,43.2817,
-119.803,1.17516,43.2804,
-117.795,-18.6527,43.0775,
-108.752,-46.9217,43.6186,
-104.223,-55.692,42.7949,
-93.0937,-71.8939,42.608,
-86.5774,-79.2169,42.4587,
-63.8108,-97.5057,42.44,
-55.3336,-102.243,42.3022,
-37.4077,-109.496,42.5022,
-28.0868,-111.967,43.4962,
0.516107,-114.615,42.6558,
19.4509,-112.398,41.6751,
28.6805,-110.122,42.0156,
37.6664,-107.091,41.7064,
46.3473,-103.33,42.295,
54.6643,-98.8691,42.8472,
69.9848,-87.9892,45.1541,
83.2191,-74.7784,42.6048,
102.113,-42.9705,41.1085,
107.299,-25.2892,41.8699,
109.398,2.05853,41.2386,
108.574,11.1396,41.4033,
104.688,28.8713,40.4922,
101.661,37.4,40.7485,
97.9429,45.6257,40.6767,
93.5625,53.4927,40.2592,
88.554,60.948,45.6284,
76.8086,74.4276,41.4447,
63.0564,85.7092,41.0444,
47.6993,94.5023,40.7122,
39.5559,97.8944,40.3611,
31.1797,100.588,40.9948,
22.6302,102.569,41.8708,
5.25359,104.356,42.159,
-3.45161,104.157,41.7045,
-20.5933,101.6,41.2958,
-52.1786,88.3066,41.1553,
-65.7666,77.9953,41.008,
-71.8437,72.0496,40.9361,
-93.5957,36.2696,41.41,
-96.0295,28.2667,41.8169,
-97.8882,-12.8837,41.3132,
-96.2062,-20.9376,41.7419,
-93.8646,-28.8012,41.4631,
-83.1045,-50.7232,42.4809,
-78.3673,-57.31,43.1846,
-73.1119,-63.4612,42.6714,
-40.5493,-86.3986,42.8321,
-25.4897,-91.4046,42.9436,
-17.7328,-92.9412,42.0809,
-9.89759,-93.8227,41.7327,
21.1311,-90.8198,42.0412,
28.5413,-88.4818,42.8958,
35.7095,-85.5424,42.198,
42.5871,-82.0257,42.1536,
61.0273,-68.3081,41.6376,
66.3078,-62.7963,41.5262,
79.0753,-44.0164,40.5539,
82.218,-37.1609,40.8854,
84.7699,-30.0885,41.1529,
86.7168,-22.8501,40.8157,
88.0489,-15.4969,41.1162,
88.3222,6.7309,40.8313,
83.1228,28.1323,41.0873,
76.8123,41.2866,40.2349,
63.5867,58.4669,40.3325,
52.6564,67.7815,41.0939,
46.6751,71.7034,41.2791,
33.8992,77.9554,40.6687,
27.1971,80.2489,41.0072,
-7.5231,83.0181,40.0634,
-21.0664,80.0841,40.6113,
-27.5747,77.791,40.1843,
-33.8481,74.9721,39.9982,
-39.8442,71.6506,41.4002,
-45.5231,67.8529,42.0524,
-55.782,58.9507,41.2153,
-60.2954,53.9141,42.0827,
-64.3588,48.5366,41.3936,
-71.0381,36.9202,40.885,
-77.1656,17.9882,41.9743,
-78.1241,11.4556,40.9186,
-77.7067,-8.16456,41.4806,
-74.7417,-20.8092,41.4968,
-69.7496,-32.6998,41.4467,
-66.5436,-38.2612,42.1189,
-49.6187,-57.116,42.7313,
-39.1569,-64.094,42.1956,
-27.7635,-69.1963,42.1932,
-21.8199,-71.0062,42.6097,
-15.7685,-72.3086,42.8023,
-9.65213,-73.0983,42.917,
-3.51412,-73.3736,42.1232,
2.60254,-73.1362,41.6958,
8.65525,-72.3917,42.2781,
14.6022,-71.1491,41.7677,
20.4027,-69.4208,42.4052,
31.408,-64.5732,42.0049,
36.539,-61.4947,41.6731,
41.3765,-58.012,42.0175,
50.0468,-49.9456,41.5572,
53.8244,-45.424,40.7881,
57.1979,-40.6214,41.2822,
60.147,-35.5737,41.1005,
66.2908,-19.3371,40.9203,
68.0348,-7.99466,40.835,
68.1892,-2.28828,42.2362,
67.8677,3.38815,40.7253,
65.8246,14.4942,41.4281,
64.1248,19.8475,41.187,
61.9925,25.0189,41.3517,
59.4462,29.9738,41.6689,
56.507,34.6791,41.1288,
53.1988,39.1041,41.4876,
49.5476,43.2201,41.2074,
45.582,47.0009,40.9611,
41.3323,50.4227,39.5976,
32.1104,56.1088,41.1698,
27.2068,58.3398,41.5215,
22.1555,60.1456,41.7838,
16.9931,61.5171,40.8781,
11.7569,62.4484,40.9472,
1.21153,62.9828,40.9806,
-4.02337,62.5898,41.1425,
-9.18446,61.7643,41.4583,
-14.2362,60.516,41.474,
-19.1443,58.8572,40.7055,
-23.8755,56.8032,41.3321,
-28.3983,54.3718,41.1927,
-32.6829,51.5835,41.411,
-36.7013,48.461,42.0061,
-40.4278,45.0291,41.4242,
-43.8389,41.3146,41.5966,
-46.9136,37.3462,42.0454,
-49.6333,33.1539,41.9602,
-51.9823,28.7692,43.1724,
-53.9474,24.2246,41.5309,
-55.5185,19.5533,42.4695,
-57.8079,5.12058,42.2976,
-57.7579,0.284277,42.2667,
-57.306,-4.50806,43.4903,
-55.2266,-13.8289,42.2537,
-51.6578,-22.5881,41.2831,
-49.3533,-26.683,42.2477,
-46.7274,-30.552,41.9022,
-43.8017,-34.1699,42.3245,
-37.146,-40.5633,42.2589,
-33.4681,-43.2995,41.6997,
-25.552,-47.7703,42.0387,
-12.727,-51.8072,42.9138,
-3.90528,-52.6514,41.181,
4.8422,-52.0196,41.6157,
9.1118,-51.1637,42.1455,
13.2728,-49.9599,42.0833,
21.1576,-46.5596,41.6415,
24.8292,-44.3938,41.9194,
28.288,-41.9418,41.8978,
31.5118,-39.2236,41.1608,
34.4807,-36.2615,41.9482,
37.1764,-33.0787,41.5096,
39.5829,-29.7002,41.798,
41.6865,-26.1519,41.7037,
43.4756,-22.4606,41.6798,
44.9413,-18.6539,41.8198,
46.0767,-14.7599,42.2401,
47.3421,-6.82378,42.1302,
47.4706,-2.83857,42.3036,
47.2663,1.12049,42.0598,
46.7342,5.0258,41.9181,
44.7193,12.5683,41.746,
43.258,16.1546,41.5914,
41.5118,19.5853,40.8768,
39.4965,22.8383,41.4032,
37.2295,25.8925,41.5269,
34.7298,28.729,40.6998,
32.0178,31.3301,41.6883,
29.1153,33.6804,41.4776,
26.045,35.7664,41.3351,
22.8307,37.5765,41.2051,
19.4969,39.1013,42.0498,
16.0686,40.3336,41.3841,
12.5713,41.2684,41.9247,
9.03059,41.9026,41.6231,
5.47197,42.2357,43.4268,
1.92091,42.2691,41.7029,
-1.59757,42.0064,42.1082,
-5.05897,41.4532,42.1477,
-11.7163,39.5081,41.2487,
-14.8676,38.1372,41.5307,
-17.8725,36.5178,41.3082,
-20.7118,34.6645,41.6036,
-23.3675,32.5937,41.4061,
-25.8233,30.323,42.1466,
-28.0645,27.8712,42.2651,
-30.078,25.2581,41.2886,
-31.8527,22.5046,42.3926,
-33.3792,19.6321,41.436,
-35.6604,13.6188,42.5075,
-36.406,10.5232,42.6398,
-37.0996,4.26764,42.0587,
-37.0503,1.1527,42.1376,
-36.7418,-1.92427,41.8883,
-36.1801,-4.94191,41.9699,
-35.373,-7.87958,42.5405,
-34.3298,-10.7175,42.5128,
-33.0615,-13.437,42.6903,
-31.5806,-16.0204,42.9664,
-28.0372,-20.7147,41.4409,
